week_index,theme,subject,body,product_line,channel,attachment_kb
9,how_to,[how_to] Reset SSO for contractor #22,We need steps to reset single sign-on for a contractor who lost device access. Priority high.,Bravo,chat,450
4,account,[account] Cannot add new seat #23,The admin panel returns an error when we try to add a seat to our subscription. Blocking our release.,Charlie,email,0
24,how_to,[how_to] Reset SSO for contractor #24,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Charlie,email,0
20,account,[account] Cannot add new seat #25,The admin panel returns an error when we try to add a seat to our subscription. Priority high.,Charlie,phone,450
16,bug,[bug] Export fails intermittently #26,When exporting CSV over 5k rows the job hangs and eventually times out. Need guidance by Friday.,Charlie,email,0
10,performance,[performance] Dashboard loads slowly #27,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Bravo,chat,0
21,billing,[billing] Invoice total mismatch #28,The amount charged does not match our purchase order for last cycle. Need guidance by Friday.,Bravo,email,0
14,how_to,[how_to] Reset SSO for contractor #29,We need steps to reset single sign-on for a contractor who lost device access. Occurs on latest build only.,Bravo,email,0
11,performance,[performance] Dashboard loads slowly #30,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Alpha,phone,0
11,account,[account] Cannot add new seat #31,The admin panel returns an error when we try to add a seat to our subscription. Priority high.,Alpha,chat,0
5,performance,[performance] Dashboard loads slowly #32,The executive dashboard takes more than twenty seconds to render on Monday mornings. Priority high.,Alpha,email,0
2,billing,[billing] Invoice total mismatch #33,The amount charged does not match our purchase order for last cycle. Blocking our release.,Bravo,email,0
14,bug,[bug] Export fails intermittently #34,When exporting CSV over 5k rows the job hangs and eventually times out. Priority high.,Alpha,chat,0
23,billing,[billing] Invoice total mismatch #35,The amount charged does not match our purchase order for last cycle. Priority high.,Charlie,email,0
1,billing,[billing] Invoice total mismatch #36,The amount charged does not match our purchase order for last cycle. Priority high.,Bravo,email,0
22,performance,[performance] Dashboard loads slowly #37,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Charlie,phone,0
21,performance,[performance] Dashboard loads slowly #38,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Alpha,phone,0
7,performance,[performance] Dashboard loads slowly #39,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Alpha,email,0
16,account,[account] Cannot add new seat #40,The admin panel returns an error when we try to add a seat to our subscription. Priority high.,Charlie,chat,900
4,performance,[performance] Dashboard loads slowly #41,The executive dashboard takes more than twenty seconds to render on Monday mornings. Occurs on latest build only.,Bravo,email,0
19,performance,[performance] Dashboard loads slowly #42,The executive dashboard takes more than twenty seconds to render on Monday mornings. Occurs on latest build only.,Bravo,email,0
18,billing,[billing] Invoice total mismatch #43,The amount charged does not match our purchase order for last cycle. Priority high.,Bravo,chat,0
9,billing,[billing] Invoice total mismatch #44,The amount charged does not match our purchase order for last cycle. Blocking our release.,Bravo,chat,0
1,how_to,[how_to] Reset SSO for contractor #45,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Charlie,phone,0
25,account,[account] Cannot add new seat #46,The admin panel returns an error when we try to add a seat to our subscription. Priority high.,Alpha,chat,0
11,billing,[billing] Invoice total mismatch #47,The amount charged does not match our purchase order for last cycle. Need guidance by Friday.,Alpha,email,0
23,how_to,[how_to] Reset SSO for contractor #48,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Bravo,email,0
17,performance,[performance] Dashboard loads slowly #49,The executive dashboard takes more than twenty seconds to render on Monday mornings. Priority high.,Charlie,phone,0
20,billing,[billing] Invoice total mismatch #50,The amount charged does not match our purchase order for last cycle. Need guidance by Friday.,Charlie,email,450
19,bug,[bug] Export fails intermittently #51,When exporting CSV over 5k rows the job hangs and eventually times out. Need guidance by Friday.,Charlie,email,120
5,account,[account] Cannot add new seat #52,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Charlie,phone,900
9,performance,[performance] Dashboard loads slowly #53,The executive dashboard takes more than twenty seconds to render on Monday mornings. Priority high.,Bravo,email,120
12,bug,[bug] Export fails intermittently #54,When exporting CSV over 5k rows the job hangs and eventually times out. Priority high.,Bravo,chat,0
12,performance,[performance] Dashboard loads slowly #55,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Bravo,email,0
1,bug,[bug] Export fails intermittently #56,When exporting CSV over 5k rows the job hangs and eventually times out. Need guidance by Friday.,Alpha,chat,120
14,performance,[performance] Dashboard loads slowly #57,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Bravo,chat,0
4,bug,[bug] Export fails intermittently #58,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Charlie,chat,0
19,how_to,[how_to] Reset SSO for contractor #59,We need steps to reset single sign-on for a contractor who lost device access. Occurs on latest build only.,Alpha,email,0
17,bug,[bug] Export fails intermittently #60,When exporting CSV over 5k rows the job hangs and eventually times out. Need guidance by Friday.,Charlie,chat,0
23,bug,[bug] Export fails intermittently #61,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Charlie,email,450
19,account,[account] Cannot add new seat #62,The admin panel returns an error when we try to add a seat to our subscription. Occurs on latest build only.,Alpha,chat,450
9,billing,[billing] Invoice total mismatch #63,The amount charged does not match our purchase order for last cycle. Priority high.,Alpha,chat,900
25,billing,[billing] Invoice total mismatch #64,The amount charged does not match our purchase order for last cycle. Need guidance by Friday.,Alpha,email,0
10,bug,[bug] Export fails intermittently #65,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Bravo,email,0
8,performance,[performance] Dashboard loads slowly #66,The executive dashboard takes more than twenty seconds to render on Monday mornings. Occurs on latest build only.,Charlie,email,0
23,performance,[performance] Dashboard loads slowly #67,The executive dashboard takes more than twenty seconds to render on Monday mornings. Priority high.,Charlie,chat,120
9,account,[account] Cannot add new seat #68,The admin panel returns an error when we try to add a seat to our subscription. Priority high.,Bravo,phone,0
1,bug,[bug] Export fails intermittently #69,When exporting CSV over 5k rows the job hangs and eventually times out. Priority high.,Alpha,phone,0
12,bug,[bug] Export fails intermittently #70,When exporting CSV over 5k rows the job hangs and eventually times out. Blocking our release.,Alpha,email,0
20,billing,[billing] Invoice total mismatch #71,The amount charged does not match our purchase order for last cycle. Priority high.,Alpha,email,0
4,how_to,[how_to] Reset SSO for contractor #72,We need steps to reset single sign-on for a contractor who lost device access. Priority high.,Bravo,email,0
12,account,[account] Cannot add new seat #73,The admin panel returns an error when we try to add a seat to our subscription. Blocking our release.,Alpha,email,0
3,performance,[performance] Dashboard loads slowly #74,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Bravo,chat,0
17,how_to,[how_to] Reset SSO for contractor #75,We need steps to reset single sign-on for a contractor who lost device access. Blocking our release.,Alpha,email,0
12,bug,[bug] Export fails intermittently #76,When exporting CSV over 5k rows the job hangs and eventually times out. Blocking our release.,Bravo,phone,0
8,account,[account] Cannot add new seat #77,The admin panel returns an error when we try to add a seat to our subscription. Occurs on latest build only.,Bravo,chat,0
5,how_to,[how_to] Reset SSO for contractor #78,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Bravo,email,0
14,billing,[billing] Invoice total mismatch #79,The amount charged does not match our purchase order for last cycle. Need guidance by Friday.,Alpha,chat,450
17,bug,[bug] Export fails intermittently #80,When exporting CSV over 5k rows the job hangs and eventually times out. Blocking our release.,Alpha,chat,120
24,billing,[billing] Invoice total mismatch #81,The amount charged does not match our purchase order for last cycle. Occurs on latest build only.,Alpha,chat,0
11,billing,[billing] Invoice total mismatch #82,The amount charged does not match our purchase order for last cycle. Blocking our release.,Charlie,phone,0
4,billing,[billing] Invoice total mismatch #83,The amount charged does not match our purchase order for last cycle. Blocking our release.,Bravo,chat,0
21,how_to,[how_to] Reset SSO for contractor #84,We need steps to reset single sign-on for a contractor who lost device access. Occurs on latest build only.,Bravo,phone,0
16,performance,[performance] Dashboard loads slowly #85,The executive dashboard takes more than twenty seconds to render on Monday mornings. Priority high.,Bravo,phone,0
18,bug,[bug] Export fails intermittently #86,When exporting CSV over 5k rows the job hangs and eventually times out. Priority high.,Bravo,phone,0
2,bug,[bug] Export fails intermittently #87,When exporting CSV over 5k rows the job hangs and eventually times out. Priority high.,Alpha,email,450
8,account,[account] Cannot add new seat #88,The admin panel returns an error when we try to add a seat to our subscription. Occurs on latest build only.,Alpha,chat,0
19,performance,[performance] Dashboard loads slowly #89,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Bravo,phone,0
21,how_to,[how_to] Reset SSO for contractor #90,We need steps to reset single sign-on for a contractor who lost device access. Occurs on latest build only.,Charlie,email,0
11,bug,[bug] Export fails intermittently #91,When exporting CSV over 5k rows the job hangs and eventually times out. Need guidance by Friday.,Charlie,email,0
20,account,[account] Cannot add new seat #92,The admin panel returns an error when we try to add a seat to our subscription. Blocking our release.,Charlie,email,0
21,bug,[bug] Export fails intermittently #93,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Charlie,email,0
10,bug,[bug] Export fails intermittently #94,When exporting CSV over 5k rows the job hangs and eventually times out. Priority high.,Alpha,email,0
23,account,[account] Cannot add new seat #95,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Charlie,email,0
7,how_to,[how_to] Reset SSO for contractor #96,We need steps to reset single sign-on for a contractor who lost device access. Blocking our release.,Alpha,email,0
6,performance,[performance] Dashboard loads slowly #97,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Charlie,chat,0
17,how_to,[how_to] Reset SSO for contractor #98,We need steps to reset single sign-on for a contractor who lost device access. Priority high.,Charlie,chat,0
16,performance,[performance] Dashboard loads slowly #99,The executive dashboard takes more than twenty seconds to render on Monday mornings. Priority high.,Charlie,email,0
3,bug,[bug] Export fails intermittently #100,When exporting CSV over 5k rows the job hangs and eventually times out. Need guidance by Friday.,Bravo,email,0
21,bug,[bug] Export fails intermittently #101,When exporting CSV over 5k rows the job hangs and eventually times out. Need guidance by Friday.,Charlie,email,120
5,bug,[bug] Export fails intermittently #102,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Charlie,chat,0
20,billing,[billing] Invoice total mismatch #103,The amount charged does not match our purchase order for last cycle. Blocking our release.,Charlie,phone,0
0,account,[account] Cannot add new seat #104,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Alpha,chat,0
20,bug,[bug] Export fails intermittently #105,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Alpha,chat,0
20,how_to,[how_to] Reset SSO for contractor #106,We need steps to reset single sign-on for a contractor who lost device access. Priority high.,Charlie,email,0
20,performance,[performance] Dashboard loads slowly #107,The executive dashboard takes more than twenty seconds to render on Monday mornings. Occurs on latest build only.,Alpha,email,0
17,performance,[performance] Dashboard loads slowly #108,The executive dashboard takes more than twenty seconds to render on Monday mornings. Occurs on latest build only.,Alpha,email,0
12,how_to,[how_to] Reset SSO for contractor #109,We need steps to reset single sign-on for a contractor who lost device access. Occurs on latest build only.,Bravo,email,0
18,how_to,[how_to] Reset SSO for contractor #110,We need steps to reset single sign-on for a contractor who lost device access. Blocking our release.,Alpha,email,0
7,account,[account] Cannot add new seat #111,The admin panel returns an error when we try to add a seat to our subscription. Priority high.,Alpha,chat,900
20,performance,[performance] Dashboard loads slowly #112,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Charlie,chat,0
14,performance,[performance] Dashboard loads slowly #113,The executive dashboard takes more than twenty seconds to render on Monday mornings. Occurs on latest build only.,Alpha,chat,120
11,account,[account] Cannot add new seat #114,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Charlie,phone,0
13,performance,[performance] Dashboard loads slowly #115,The executive dashboard takes more than twenty seconds to render on Monday mornings. Priority high.,Charlie,phone,0
14,billing,[billing] Invoice total mismatch #116,The amount charged does not match our purchase order for last cycle. Priority high.,Charlie,email,900
0,how_to,[how_to] Reset SSO for contractor #117,We need steps to reset single sign-on for a contractor who lost device access. Blocking our release.,Charlie,email,0
3,billing,[billing] Invoice total mismatch #118,The amount charged does not match our purchase order for last cycle. Priority high.,Alpha,chat,120
6,performance,[performance] Dashboard loads slowly #119,The executive dashboard takes more than twenty seconds to render on Monday mornings. Occurs on latest build only.,Bravo,phone,0
2,account,[account] Cannot add new seat #120,The admin panel returns an error when we try to add a seat to our subscription. Occurs on latest build only.,Alpha,email,0
11,how_to,[how_to] Reset SSO for contractor #121,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Bravo,email,0
17,how_to,[how_to] Reset SSO for contractor #122,We need steps to reset single sign-on for a contractor who lost device access. Occurs on latest build only.,Bravo,phone,0
17,billing,[billing] Invoice total mismatch #123,The amount charged does not match our purchase order for last cycle. Occurs on latest build only.,Charlie,email,0
12,account,[account] Cannot add new seat #124,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Bravo,email,0
22,billing,[billing] Invoice total mismatch #125,The amount charged does not match our purchase order for last cycle. Blocking our release.,Bravo,email,0
14,billing,[billing] Invoice total mismatch #126,The amount charged does not match our purchase order for last cycle. Need guidance by Friday.,Bravo,email,120
2,billing,[billing] Invoice total mismatch #127,The amount charged does not match our purchase order for last cycle. Occurs on latest build only.,Alpha,phone,120
19,billing,[billing] Invoice total mismatch #128,The amount charged does not match our purchase order for last cycle. Blocking our release.,Charlie,phone,0
14,how_to,[how_to] Reset SSO for contractor #129,We need steps to reset single sign-on for a contractor who lost device access. Occurs on latest build only.,Bravo,email,120
16,how_to,[how_to] Reset SSO for contractor #130,We need steps to reset single sign-on for a contractor who lost device access. Blocking our release.,Bravo,email,450
14,bug,[bug] Export fails intermittently #131,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Alpha,chat,0
14,billing,[billing] Invoice total mismatch #132,The amount charged does not match our purchase order for last cycle. Blocking our release.,Alpha,chat,120
2,billing,[billing] Invoice total mismatch #133,The amount charged does not match our purchase order for last cycle. Priority high.,Alpha,chat,0
14,bug,[bug] Export fails intermittently #134,When exporting CSV over 5k rows the job hangs and eventually times out. Priority high.,Bravo,email,450
20,billing,[billing] Invoice total mismatch #135,The amount charged does not match our purchase order for last cycle. Blocking our release.,Charlie,email,0
7,performance,[performance] Dashboard loads slowly #136,The executive dashboard takes more than twenty seconds to render on Monday mornings. Priority high.,Bravo,chat,0
15,billing,[billing] Invoice total mismatch #137,The amount charged does not match our purchase order for last cycle. Blocking our release.,Alpha,email,900
0,bug,[bug] Export fails intermittently #138,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Bravo,phone,0
9,bug,[bug] Export fails intermittently #139,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Charlie,email,0
11,bug,[bug] Export fails intermittently #140,When exporting CSV over 5k rows the job hangs and eventually times out. Need guidance by Friday.,Charlie,phone,0
25,billing,[billing] Invoice total mismatch #141,The amount charged does not match our purchase order for last cycle. Blocking our release.,Bravo,chat,0
5,billing,[billing] Invoice total mismatch #142,The amount charged does not match our purchase order for last cycle. Blocking our release.,Alpha,phone,0
7,account,[account] Cannot add new seat #143,The admin panel returns an error when we try to add a seat to our subscription. Blocking our release.,Charlie,email,0
10,billing,[billing] Invoice total mismatch #144,The amount charged does not match our purchase order for last cycle. Priority high.,Bravo,email,0
25,how_to,[how_to] Reset SSO for contractor #145,We need steps to reset single sign-on for a contractor who lost device access. Blocking our release.,Alpha,phone,0
22,how_to,[how_to] Reset SSO for contractor #146,We need steps to reset single sign-on for a contractor who lost device access. Blocking our release.,Charlie,email,0
0,bug,[bug] Export fails intermittently #147,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Bravo,chat,0
6,bug,[bug] Export fails intermittently #148,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Alpha,email,0
21,performance,[performance] Dashboard loads slowly #149,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Bravo,email,0
1,performance,[performance] Dashboard loads slowly #150,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Bravo,email,0
22,bug,[bug] Export fails intermittently #151,When exporting CSV over 5k rows the job hangs and eventually times out. Need guidance by Friday.,Bravo,chat,0
7,bug,[bug] Export fails intermittently #152,When exporting CSV over 5k rows the job hangs and eventually times out. Blocking our release.,Bravo,phone,0
23,bug,[bug] Export fails intermittently #153,When exporting CSV over 5k rows the job hangs and eventually times out. Priority high.,Charlie,chat,0
7,how_to,[how_to] Reset SSO for contractor #154,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Bravo,chat,900
11,performance,[performance] Dashboard loads slowly #155,The executive dashboard takes more than twenty seconds to render on Monday mornings. Occurs on latest build only.,Bravo,email,0
17,bug,[bug] Export fails intermittently #156,When exporting CSV over 5k rows the job hangs and eventually times out. Priority high.,Alpha,chat,0
3,bug,[bug] Export fails intermittently #157,When exporting CSV over 5k rows the job hangs and eventually times out. Priority high.,Charlie,phone,0
14,account,[account] Cannot add new seat #158,The admin panel returns an error when we try to add a seat to our subscription. Occurs on latest build only.,Bravo,chat,120
13,billing,[billing] Invoice total mismatch #159,The amount charged does not match our purchase order for last cycle. Need guidance by Friday.,Charlie,email,0
20,how_to,[how_to] Reset SSO for contractor #160,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Alpha,phone,0
25,performance,[performance] Dashboard loads slowly #161,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Bravo,email,0
17,billing,[billing] Invoice total mismatch #162,The amount charged does not match our purchase order for last cycle. Need guidance by Friday.,Charlie,email,0
10,billing,[billing] Invoice total mismatch #163,The amount charged does not match our purchase order for last cycle. Blocking our release.,Charlie,chat,0
10,billing,[billing] Invoice total mismatch #164,The amount charged does not match our purchase order for last cycle. Blocking our release.,Alpha,phone,0
10,account,[account] Cannot add new seat #165,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Bravo,email,0
21,billing,[billing] Invoice total mismatch #166,The amount charged does not match our purchase order for last cycle. Need guidance by Friday.,Alpha,chat,0
8,billing,[billing] Invoice total mismatch #167,The amount charged does not match our purchase order for last cycle. Occurs on latest build only.,Alpha,chat,450
4,billing,[billing] Invoice total mismatch #168,The amount charged does not match our purchase order for last cycle. Blocking our release.,Charlie,chat,0
8,billing,[billing] Invoice total mismatch #169,The amount charged does not match our purchase order for last cycle. Occurs on latest build only.,Bravo,email,0
0,how_to,[how_to] Reset SSO for contractor #170,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Bravo,chat,450
2,billing,[billing] Invoice total mismatch #171,The amount charged does not match our purchase order for last cycle. Need guidance by Friday.,Charlie,email,0
2,how_to,[how_to] Reset SSO for contractor #172,We need steps to reset single sign-on for a contractor who lost device access. Priority high.,Alpha,email,0
20,how_to,[how_to] Reset SSO for contractor #173,We need steps to reset single sign-on for a contractor who lost device access. Blocking our release.,Alpha,chat,0
18,performance,[performance] Dashboard loads slowly #174,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Charlie,email,0
18,billing,[billing] Invoice total mismatch #175,The amount charged does not match our purchase order for last cycle. Priority high.,Bravo,email,0
12,performance,[performance] Dashboard loads slowly #176,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Charlie,email,0
18,performance,[performance] Dashboard loads slowly #177,The executive dashboard takes more than twenty seconds to render on Monday mornings. Priority high.,Bravo,chat,0
4,billing,[billing] Invoice total mismatch #178,The amount charged does not match our purchase order for last cycle. Priority high.,Bravo,phone,0
23,performance,[performance] Dashboard loads slowly #179,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Bravo,chat,450
13,account,[account] Cannot add new seat #180,The admin panel returns an error when we try to add a seat to our subscription. Occurs on latest build only.,Bravo,chat,0
24,bug,[bug] Export fails intermittently #181,When exporting CSV over 5k rows the job hangs and eventually times out. Blocking our release.,Alpha,email,0
3,account,[account] Cannot add new seat #182,The admin panel returns an error when we try to add a seat to our subscription. Occurs on latest build only.,Alpha,chat,0
12,how_to,[how_to] Reset SSO for contractor #183,We need steps to reset single sign-on for a contractor who lost device access. Occurs on latest build only.,Charlie,phone,0
18,how_to,[how_to] Reset SSO for contractor #184,We need steps to reset single sign-on for a contractor who lost device access. Blocking our release.,Alpha,email,450
12,account,[account] Cannot add new seat #185,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Alpha,chat,0
11,bug,[bug] Export fails intermittently #186,When exporting CSV over 5k rows the job hangs and eventually times out. Blocking our release.,Charlie,chat,0
4,performance,[performance] Dashboard loads slowly #187,The executive dashboard takes more than twenty seconds to render on Monday mornings. Occurs on latest build only.,Charlie,email,120
9,bug,[bug] Export fails intermittently #188,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Alpha,chat,450
6,performance,[performance] Dashboard loads slowly #189,The executive dashboard takes more than twenty seconds to render on Monday mornings. Priority high.,Bravo,chat,0
7,how_to,[how_to] Reset SSO for contractor #190,We need steps to reset single sign-on for a contractor who lost device access. Occurs on latest build only.,Bravo,email,0
17,billing,[billing] Invoice total mismatch #191,The amount charged does not match our purchase order for last cycle. Blocking our release.,Bravo,email,0
16,bug,[bug] Export fails intermittently #192,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Alpha,email,0
15,bug,[bug] Export fails intermittently #193,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Charlie,chat,0
9,billing,[billing] Invoice total mismatch #194,The amount charged does not match our purchase order for last cycle. Blocking our release.,Charlie,phone,0
24,billing,[billing] Invoice total mismatch #195,The amount charged does not match our purchase order for last cycle. Blocking our release.,Alpha,email,0
2,bug,[bug] Export fails intermittently #196,When exporting CSV over 5k rows the job hangs and eventually times out. Blocking our release.,Charlie,phone,0
8,billing,[billing] Invoice total mismatch #197,The amount charged does not match our purchase order for last cycle. Blocking our release.,Charlie,email,0
3,billing,[billing] Invoice total mismatch #198,The amount charged does not match our purchase order for last cycle. Blocking our release.,Charlie,email,0
8,performance,[performance] Dashboard loads slowly #199,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Bravo,phone,0
25,performance,[performance] Dashboard loads slowly #200,The executive dashboard takes more than twenty seconds to render on Monday mornings. Blocking our release.,Alpha,email,0
9,performance,[performance] Dashboard loads slowly #201,The executive dashboard takes more than twenty seconds to render on Monday mornings. Need guidance by Friday.,Bravo,chat,120
23,bug,[bug] Export fails intermittently #202,When exporting CSV over 5k rows the job hangs and eventually times out. Blocking our release.,Charlie,phone,0
12,account,[account] Cannot add new seat #203,The admin panel returns an error when we try to add a seat to our subscription. Need guidance by Friday.,Bravo,email,0
18,how_to,[how_to] Reset SSO for contractor #204,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Charlie,chat,900
11,billing,[billing] Invoice total mismatch #205,The amount charged does not match our purchase order for last cycle. Blocking our release.,Bravo,chat,0
6,billing,[billing] Invoice total mismatch #206,The amount charged does not match our purchase order for last cycle. Blocking our release.,Alpha,email,0
19,performance,[performance] Dashboard loads slowly #207,The executive dashboard takes more than twenty seconds to render on Monday mornings. Priority high.,Alpha,phone,0
25,billing,[billing] Invoice total mismatch #208,The amount charged does not match our purchase order for last cycle. Priority high.,Alpha,chat,0
6,how_to,[how_to] Reset SSO for contractor #209,We need steps to reset single sign-on for a contractor who lost device access. Priority high.,Charlie,chat,0
20,account,[account] Cannot add new seat #210,The admin panel returns an error when we try to add a seat to our subscription. Priority high.,Charlie,chat,120
6,billing,[billing] Invoice total mismatch #211,The amount charged does not match our purchase order for last cycle. Priority high.,Charlie,chat,0
18,billing,[billing] Invoice total mismatch #212,The amount charged does not match our purchase order for last cycle. Blocking our release.,Alpha,chat,900
20,account,[account] Cannot add new seat #213,The admin panel returns an error when we try to add a seat to our subscription. Priority high.,Bravo,chat,0
11,how_to,[how_to] Reset SSO for contractor #214,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Charlie,phone,0
19,billing,[billing] Invoice total mismatch #215,The amount charged does not match our purchase order for last cycle. Priority high.,Alpha,chat,0
7,account,[account] Cannot add new seat #216,The admin panel returns an error when we try to add a seat to our subscription. Occurs on latest build only.,Bravo,email,0
2,account,[account] Cannot add new seat #217,The admin panel returns an error when we try to add a seat to our subscription. Occurs on latest build only.,Bravo,chat,0
2,how_to,[how_to] Reset SSO for contractor #218,We need steps to reset single sign-on for a contractor who lost device access. Need guidance by Friday.,Charlie,chat,120
11,how_to,[how_to] Reset SSO for contractor #219,We need steps to reset single sign-on for a contractor who lost device access. Occurs on latest build only.,Bravo,chat,0
23,bug,[bug] Export fails intermittently #220,When exporting CSV over 5k rows the job hangs and eventually times out. Occurs on latest build only.,Alpha,email,0
3,billing,[billing] Invoice total mismatch #221,The amount charged does not match our purchase order for last cycle. Occurs on latest build only.,Charlie,chat,0
